ELEXP,ELCNS,PUBID,REGION,CENDIV,PBA,PUBCLIM,SQFT,SQFTC,RFTILT,BLDSHP,NFLOOR,ATTIC,PBAPLUS,GOVOWN,OWNTYPE,NOCC,NOCCAT,OWNOCC,OPEN24,OPNMF,OPNWE,NWKER,NWKERC,ELUSED,SLFCON,BOILER,REHEAT,FIREPLC,ELCOOL,EVAPCL,ECN,ELCOOK,ELMANU,SOGENR,ENRGYPLN,PCTERM,LAPTOP,SERVER,PCTERMN,SRVRCLST,LGOFFDEV,SMOFFDEV,TVVIDEO,FLUOR,BULB,HALO,LED,SCHED,OCSN,SKYLT
775800.0,5483285.0,1,3,5,2,3,210000,8,1,6,994,2,4,1,8,1,2,2.0,2,1,2,350,8,1,2.0,2.0,2.0,2.0,1,2.0,1.0,2,2,2,2.0,1.0,1.0,1.0,250.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
77933.0,448027.0,2,4,9,2,4,28000,5,1,11,5,2,6,2,2,2,3,2.0,2,1,2,12,4,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,1,2.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
3472.0,15354.0,3,3,5,8,4,2100,2,3,2,1,1,18,2,3,1,2,2.0,2,1,2,6,3,1,2.0,2.0,2.0,2.0,1,2.0,1.0,2,2,2,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
41197.0,578621.0,4,3,7,5,5,240000,8,1,2,1,2,9,2,1,2,3,2.0,2,1,2,34,5,1,1.0,1.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,15.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
33688.0,378243.0,5,1,2,5,3,295000,8,1,1,1,2,9,2,1,2,3,2.0,2,1,1,10,4,1,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2,2,2.0,1.0,2.0,2.0,10.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
83464.0,791765.0,6,3,5,14,3,94000,6,1,9,2,2,28,1,10,1,2,1.0,2,1,1,112,7,1,2.0,1.0,2.0,2.0,1,2.0,1.0,1,2,2,1.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
41661.0,586563.0,7,4,8,14,5,41000,5,1,2,2,2,54,2,5,1,2,1.0,2,1,2,43,5,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,80.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
77439.0,877997.0,8,2,3,5,2,122000,7,1,1,2,2,9,1,8,1,2,1.0,1,1,1,110,7,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2,2,2,2.0,1.0,1.0,1.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0
68336.0,725930.0,9,4,8,25,2,96000,6,1,1,1,2,42,2,1,1,2,2.0,2,1,1,30,5,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,2.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
158941.0,1461170.0,10,1,2,14,2,220000,8,1,7,3,1,29,1,9,2,3,1.0,2,1,1,80,6,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2,2,2,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
13908.0,166544.0,11,1,2,25,3,7500,3,1,1,1,2,42,2,1,1,2,2.0,2,1,1,4,2,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
576798.0,5085769.0,12,4,9,7,7,350000,8,1,9,5,2,52,1,97,5,3,2.0,2,1,1,250,8,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2,2,1,2.0,1.0,1.0,1.0,428.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
14249.0,200111.0,13,4,8,2,3,30500,5,1,2,3,1,2,2,2,5,3,1.0,2,1,2,25,5,1,2.0,1.0,2.0,2.0,1,2.0,1.0,1,2,2,2.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
6795.0,58657.0,14,3,7,14,4,8000,3,3,2,1,2,28,1,10,1,2,1.0,2,1,2,3,2,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2,2,2,2.0,2.0,1.0,2.0,173.8687725631769,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
2525.0,20774.0,15,2,3,5,2,3000,2,3,1,2,1,10,2,2,1,2,1.0,2,1,2,4,2,1,1.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
11769.0,160996.0,16,4,8,25,5,8500,3,1,2,1,1,42,2,1,1,2,2.0,2,1,1,2,2,1,2.0,2.0,2.0,2.0,1,2.0,1.0,2,2,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
52848.0,486063.0,17,3,5,14,4,51000,6,1,6,1,2,28,1,10,1,2,1.0,2,1,2,48,5,1,1.0,2.0,2.0,2.0,1,2.0,2.0,1,2,2,1.0,1.0,1.0,1.0,80.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
390831.0,4529445.0,18,4,9,5,7,2100000,10,2,2,4,2,9,2,2,1,2,2.0,2,1,1,800,9,1,2.0,2.0,2.0,2.0,1,2.0,1.0,2,2,2,2.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
294586.0,3046373.0,19,3,6,2,4,184000,7,1,3,3,2,2,2,2,30,6,2.0,2,1,2,400,8,1,2.0,1.0,2.0,2.0,1,2.0,2.0,1,1,2,2.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
2829675.0,30954035.0,20,1,2,2,7,1500000,10,1,1,995,1,6,2,2,40,6,1.0,1,1,1,2500,11,1,2.0,2.0,2.0,2.0,1,2.0,1.0,2,2,1,1.0,1.0,1.0,1.0,3615.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
338196.0,2800997.0,21,2,3,2,3,240000,8,3,2,4,1,4,1,9,3,3,2.0,2,1,2,400,8,1,2.0,1.0,2.0,2.0,1,2.0,1.0,1,2,2,2.0,1.0,1.0,1.0,500.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
459021.0,2336188.0,22,4,9,2,4,210000,8,1,6,994,1,2,2,2,100,7,1.0,1,1,1,500,9,1,2.0,1.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,400.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
53374.0,352198.0,23,1,1,2,1,22000,4,3,2,3,1,4,1,10,2,3,1.0,1,1,1,25,5,1,2.0,1.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
178655.0,1692963.0,24,4,9,5,3,116000,7,2,2,1,2,9,2,2,2,3,2.0,2,1,1,20,5,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,2.0,15.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
