Electricity_Consumption,SQFT,Number_Workers,Building_Activity,Work_hours,Cooling_Days,Number_desktops,Wall_Construction_Material,Boiler,Own_Type,Climate_Zone
5483285,210000,350,2,70,1759,250,1,2,8,3
448027,28000,12,2,45,189,20,1,2,2,4
15354,2100,6,8,48,2403,2,1,2,3,4
578621,240000,34,5,55,3041,15,2,1,1,5
378243,295000,10,5,80,1316,10,3,2,1,3
791765,94000,112,14,60,1143,25,1,1,10,3
586563,41000,43,14,50,3577,80,1,2,5,5
877997,122000,110,5,168,1184,40,1,1,8,2
725930,96000,30,25,95,1269,10,3,2,1,2
1461170,220000,80,14,80,598,90,1,1,9,2
166544,7500,4,25,64,1036,2,1,2,1,3
5085769,350000,250,7,54,680,428,3,1,97,7
200111,30500,25,2,50,1184,20,1,1,2,3
58657,8000,3,14,35,2586,30,5,1,10,4
20774,3000,4,5,45,894,4,5,2,2,2
160996,8500,2,25,98,3786,2,1,2,1,5
486063,51000,48,14,60,2195,80,1,2,10,4
4529445,2100000,800,5,154,401,50,3,2,2,7
3046373,184000,400,2,38,1680,30,1,1,2,4
30954035,1500000,2500,2,168,1262,3615,1,2,2,7
2800997,240000,400,2,80,1708,500,6,1,9,3
2336188,210000,500,2,168,1583,400,3,1,2,4
352198,22000,25,2,168,769,25,8,1,10,1
1692963,116000,20,5,86,332,15,1,2,2,3
2793788,230000,247,2,50,1744,150,6,2,2,3
1860602,182000,250,2,56,1510,200,3,1,1,3
16487,2800,0,1,0,3667,30,3,2,1,5
695373,4550,0,5,0,2230,30,5,2,2,3
4835368,420000,1053,2,56,1375,700,6,2,2,2
15588,3250,6,2,40,2534,6,1,2,3,4
16858027,1000000,1000,8,168,2142,475,1,1,5,4
2001015,190000,612,2,60,226,1,2,1,2,4
3972921,158000,115,25,168,1866,50,3,2,1,4
1046787,62000,15,12,50,3388,15,3,1,4,5
49623,9000,10,26,70,878,13,1,1,2,2
4289,5400,2,26,45,1940,1,5,1,9,3
142981,4500,4,25,75,1521,5,3,2,3,3
