
Energy_Use_Intensity,Building_Activity,Work_Hours,Percent_Lit_Off_Hours,Number_Workers,Number_Desktops,Percent_Cooled,Main_Heat_Equip,Main_Cool_Equp,Floor_Ceiling_Height,Number_business
89.09033333,4,70,10,350,250,100,27,3,12,1
54.59525,6,45,10,12,20,100,12,4,8,2
24.94619048,18,48,0,6,2,100,2,2,9,1
8.2260625,9,55,10,34,15,45,11,2,25,2
4.37479322,9,80,60,10,10,100,10,2,30,2
28.73937234,28,60,90,112,25,100,11,3,8,1
48.8134878,54,50,5,43,80,100,2,2,8,1
24.55512295,9,168,10,110,40,100,11,3,20,1
25.80076042,42,95,10,30,10,100,10,2,12,1
22.66142273,29,80,1,80,90,25,11,3,10,2
75.7664,42,64,10,4,2,100,9,2,20,1
49.57898,52,54,30,250,428,85,11,3,12,5
22.38616393,2,50,5,25,20,100,10,2,10,5
25.017375,28,35,0,3,30,100,2,2,24,1
23.627,10,45,5,4,4,5,10,5,16,1
64.62588235,42,98,95,2,2,70,2,2,20,1
32.51856863,28,60,15,48,80,82,4,4,11,1
7.359269048,9,154,50,800,50,33,2,2,12,1
56.49035326,2,38,5,400,30,100,10,3,12,30
70.41011067,6,168,25,2500,3615,98,27,3,12,40
39.82084167,4,80,10,400,500,100,11,3,10,3
37.9575,2,168,10,500,400,100,3,3,12,100
54.62277273,4,168,25,25,25,100,17,3,12,2
49.79646552,9,86,10,20,15,25,2,2,30,2
41.44523478,2,50,10,247,150,100,7,2,11,2
34.88117033,2,56,30,250,200,90,11,3,9,20
20.09071429,1,0,10,0,30,50,10,2,8,0
39.2816119,6,56,30,1053,700,95,7,3,9,35
16.36461538,5,40,0,6,6,100,10,2,10,1
57.519589,19,168,75,1000,475,100,3,3,9,15
35.93401053,2,60,15,612,1,100,11,2,18,1
85.79498734,42,168,50,115,50,75,10,2,17,8
57.60706452,21,50,0,15,15,100,3,2,50,1
18.81266667,47,70,10,10,13,40,17,1,8,1
2.709814815,48,45,0,2,1,100,11,2,16,1
108.4115556,43,75,95,4,5,100,2,2,9,1
47.40596226,50,55,44,41,4,68,2,2,20,3
14.43456,28,45,5,45,60,100,2,2,8,1
87.13438866,36,168,25,73,9,100,11,3,8,1
39.6066,11,168,50,1,1,10,10,2,9,1
2.753783133,24,35,10,2,30,100,11,2,22,1
71.22711818,19,168,75,300,400,100,11,3,9,3
20.285025,6,40,25,1500,2200,85,42,3,12,150
24.57833884,29,80,40,400,500,25,27,5,12,1
33.19884444,21,35,0,3,30,100,4,4,20,1
21.79959677,9,50,20,56,25,75,10,2,24,7
0.042616667,1,0,10,0,30,25,10,3,10,0
44.71156154,4,168,30,53,30,100,27,3,10,1
65.2223125,7,168,15,12,10,55,2,2,15,3
72.77591935,6,120,20,500,400,100,36,3,15,7
36.58232692,9,168,100,40,15,100,10,2,30,1
12.97209545,29,50,25,244,355,100,3,2,10,1
12.17094,21,85,5,11,15,100,10,2,18,1
43.11457826,35,168,10,400,300,100,27,3,10,1
12.66804,47,56,0,6,18,40,2,1,10,1
160.8767182,14,168,10,50,4,85,33,2,20,2
21.54707317,42,60,25,50,10,100,2,2,17,1
83.04472978,42,168,50,150,75,65,10,2,17,4
70.12723333,42,168,50,150,75,95,10,2,17,4
41.07790476,9,50,75,20,80,50,2,2,16,2
45.37392857,33,120,10,6,30,50,9,1,11,2
88.2648,50,75,9,29,15,100,10,2,9,11
26.256435,6,68,20,4500,1500,95,7,16,9,42
11.81108333,46,40,0,2,2,10,9,1,16,1
6.900590164,10,48,5,2,3,40,10,2,25,1
34.4913871,18,50,10,60,15,100,5,2,9,1
30.32009677,10,40,2,14,4,70,21,2,10,2
45.37681633,6,40,15,30,22,100,10,2,10,4
58.57094715,2,65,25,435,435,100,7,2,10,55
129.855625,32,98,2,9,1,100,1,2,12,1
25.98393939,48,30,0,1,30,33,20,1,9,2
33.14035,24,100,10,35,12,70,10,2,12,1
34.28795238,50,48,3,11,3,100,10,2,13,4
24.51849254,27,112,20,162,180,80,28,16,12,1
37.55204545,2,36,0,2,2,67,9,1,10,1
6.997,24,25,5,3,1,100,9,3,12,1
19.52947053,28,45,5,1,1,100,5,5,8,1
10.07775424,9,60,0,40,12,28,2,2,15,2
75.81094118,18,36,5,16,32,100,10,8,12,1
61.65526563,36,168,15,25,5,100,2,2,12,1
32.97326333,2,60,30,200,200,100,27,16,12,1
30.84633333,1,0,10,0,30,100,9,2,8,0
29.53785263,29,80,10,200,1200,90,11,2,10,1
27.80655814,4,40,25,60,53,90,27,16,12,1
26.53183529,40,168,25,50,30,100,10,1,10,1
17.28541875,55,78,1,300,49,50,11,5,14,1
12.67075556,27,75,10,30,146,90,27,6,8,1
33.29726136,36,168,40,60,40,100,11,3,8,1
